call_id,customer_id,agent_id,call_start_datetime,agent_assigned_datetime,call_end_datetime,agent_assign_delay,agent_time_taken
1122072124,8186702651,519057,08-01-2024 00:03,08-01-2024 00:06,08-01-2024 00:18,03:00,12:00
2266439882,1154544516,488324,08-01-2024 00:05,08-01-2024 00:10,08-01-2024 00:17,05:00,07:00
1211603231,5214456437,721730,08-01-2024 00:04,08-01-2024 00:14,08-01-2024 00:23,10:00,09:00
5297766997,5590154991,817160,08-01-2024 00:11,08-01-2024 00:16,08-01-2024 00:40,05:00,24:00
324593040,6774865122,519057,08-01-2024 00:08,08-01-2024 00:21,08-01-2024 00:34,13:00,13:00
8902603117,7974326984,488324,08-01-2024 00:13,08-01-2024 00:21,08-01-2024 00:29,08:00,08:00
7222687732,8023417234,957331,08-01-2024 00:14,08-01-2024 00:22,08-01-2024 00:35,08:00,13:00
4113684017,1528835057,158319,08-01-2024 00:20,08-01-2024 00:28,08-01-2024 00:37,08:00,09:00
4431106905,3351112750,721730,08-01-2024 00:25,08-01-2024 00:29,08-01-2024 00:32,04:00,03:00
7732610078,4029953261,488324,08-01-2024 00:23,08-01-2024 00:34,08-01-2024 01:32,11:00,58:00
6935939312,8108148337,963118,08-01-2024 00:27,08-01-2024 00:36,08-01-2024 00:44,09:00,08:00
7892954313,385356591,519057,08-01-2024 00:27,08-01-2024 00:37,08-01-2024 00:40,10:00,03:00
1548659870,4653299214,721730,08-01-2024 00:28,08-01-2024 00:37,08-01-2024 00:41,09:00,04:00
3313876732,6748767796,158319,08-01-2024 00:32,08-01-2024 00:40,08-01-2024 01:13,08:00,33:00
9009313118,1937394483,963118,08-01-2024 00:38,08-01-2024 00:47,08-01-2024 01:31,09:00,44:00
2421825046,9310326714,519057,08-01-2024 00:43,08-01-2024 00:52,08-01-2024 00:57,09:00,05:00
6365916412,6997422211,721730,08-01-2024 00:50,08-01-2024 00:53,08-01-2024 00:57,03:00,04:00
5889442998,9978994405,817160,08-01-2024 00:50,08-01-2024 00:54,08-01-2024 01:01,04:00,07:00
7310794085,8111523184,957331,08-01-2024 00:46,08-01-2024 00:55,08-01-2024 01:12,09:00,17:00
9929408549,297296549,519057,08-01-2024 00:51,08-01-2024 00:59,08-01-2024 01:18,08:00,19:00
8509547639,9053700165,721730,08-01-2024 00:54,08-01-2024 01:03,08-01-2024 01:14,09:00,11:00
