call_id,primary_call_reason,Primary_call_reason2
4667960400,Voluntary  Cancel,Voluntary Cancel
1122072124,Booking,Booking
6834291559,IRROPS,IRROPS
2266439882,Upgrade,Upgrade
1211603231,Seating,Seating
5297766997,Mileage   Plus,Mileage Plus
324593040,Checkout,Checkout
8902603117,Mileage   Plus,Mileage Plus
7222687732,Mileage   Plus,Mileage Plus
4113684017,IRROPS,IRROPS
4431106905,IRROPS,IRROPS
6935939312,Voluntary   Change,Voluntary Change
7892954313,Post Flight,Post Flight
1548659870,Seating,Seating
3313876732,Check In,Check In
9009313118,Post Flight,Post Flight
2421825046,Checkout,Checkout
6365916412,Other  Topics,Other Topics
5889442998,Check In,Check In
7310794085,Post Flight,Post Flight
9929408549,IRROPS,IRROPS
8509547639,Seating,Seating
1093484785,Post Flight,Post Flight
7602289538,Communications,Communications
8627682007,Check In,Check In
2530572183,Voluntary   Change,Voluntary Change
7677239872,Schedule Change,Schedule Change
8607543793,Mileage   Plus,Mileage Plus
6102160207,Products & Services,Products & Services
8652716010,Seating,Seating
288434426,Upgrade,Upgrade
5289798109,Products & Services,Products & Services
3107888571,Mileage   Plus,Mileage Plus
5737349741,Upgrade,Upgrade
7890159923,Seating,Seating
5969151433,Mileage   Plus,Mileage Plus
3311768452,Voluntary  Cancel,Voluntary Cancel
2200682864,Post Flight,Post Flight
3283019500,Communications,Communications
3042091300,Seating,Seating
3241712240,Seating,Seating
3715152001,Voluntary   Change,Voluntary Change
4165389905,IRROPS,IRROPS
2141788986,Products & Services,Products & Services
7348382478,IRROPS,IRROPS
5925798000,Communications,Communications
9724788339,Voluntary   Change,Voluntary Change
845866474,Mileage   Plus,Mileage Plus
5023614450,IRROPS  ,IRROPS
5356883601,Mileage   Plus,Mileage Plus
9983959358,Check In,Check In
9455719171,Voluntary   Change,Voluntary Change
1461417732,Digital   Support,Digital Support
2492747146,Mileage   Plus,Mileage Plus
3099385981,Voluntary   Change,Voluntary Change
6354983973,Post Flight,Post Flight
4290559626,Seating,Seating
9653448853,Voluntary   Change,Voluntary Change
6788681378,Seating  ,Seating
2326492285,Disability,Disability
1804143506,Voluntary   Change,Voluntary Change
9508402335,Post Flight,Post Flight
4541295276,Mileage   Plus,Mileage Plus
8837237031,IRROPS,IRROPS
3944632548,Seating,Seating
3991780429,Voluntary   Change,Voluntary Change
4630350249,Post Flight,Post Flight
3006081887,Unaccompanied Minor,Unaccompanied Minor
5745907727,Seating,Seating
2517801923,Voluntary   Change,Voluntary Change
5347725511,Seating,Seating
3265727999,IRROPS,IRROPS
291609054,Products & Services,Products & Services
5725811355,Schedule Change,Schedule Change
2855340256,IRROPS,IRROPS
1818595932,Communications,Communications
5706266824,Post Flight,Post Flight
3209820220,Upgrade,Upgrade
4498597955,IRROPS,IRROPS
